current_parent_name,pen_total,num_recs,rank,ownership,curr_ticker,curr_cik,curr_ISIN,hq_country,hq_state,industry,major_industry,viol_parent_url,sub_parent_url
Logitech International,7761000,2,1250,publicly traded,,,CH0025751329,Switzerland,,electronic equipment,electrical and electronic equipment,https://violationtracker.goodjobsfirst.org/parent/logitech-international,https://subsidytracker.goodjobsfirst.org/parent/logitech-international
Loncin Holdings,680000,2,2202,privately held,,,,China,,motor vehicles,motor vehicles,https://violationtracker.goodjobsfirst.org/parent/loncin-holdings,
Lone Star Funds,7823918,15,1249,privately held,,,,USA,Texas,private equity (including portfolio companies),private equity (including portfolio companies),https://violationtracker.goodjobsfirst.org/parent/lone-star-funds,https://subsidytracker.goodjobsfirst.org/parent/lone-star-funds
Long Island Community Hospital,2920000,1,1629,non-profit,,,,USA,New York,hospitals,healthcare services,https://violationtracker.goodjobsfirst.org/parent/long-island-community-hospital,
Lonza,4051831,20,1504,publicly traded,,,CH0013841017,Switzerland,,chemicals,chemicals,https://violationtracker.goodjobsfirst.org/parent/lonza,https://subsidytracker.goodjobsfirst.org/parent/lonza
Loomis,380221,26,2431,publicly traded,,,SE0014504817,Sweden,,security services,miscellaneous services,https://violationtracker.goodjobsfirst.org/parent/loomis,
Los Alamos National Security LLC,1378750,6,1923,"joint venture (owned by the University of California, Bechtel, BWXT and URS)",,,,USA,New Mexico,outsourced government services,miscellaneous services,https://violationtracker.goodjobsfirst.org/parent/los-alamos-national-security-llc,https://subsidytracker.goodjobsfirst.org/parent/los-alamos-national-security-llc
Lotte Chemical,7500,1,3134,publicly traded,,,KR7011170008,South Korea,,chemicals,chemicals,https://violationtracker.goodjobsfirst.org/parent/lotte-chemical,https://subsidytracker.goodjobsfirst.org/parent/lotte-chemical
Lou's Fish Market Inc.,1542000,2,1884,privately held,,,,USA,New York,food products,food products,https://violationtracker.goodjobsfirst.org/parent/lous-fish-market-inc,https://subsidytracker.goodjobsfirst.org/parent/lous-fish-market-inc
Louis Dreyfus,24209716,29,846,privately held,,,,France,,commodities brokerage,financial services,https://violationtracker.goodjobsfirst.org/parent/louis-dreyfus,https://subsidytracker.goodjobsfirst.org/parent/louis-dreyfus
Louisiana-Pacific Corp.,342382,21,2456,publicly traded,LPX,60519,US5463471053,USA,Tennessee,building materials,building materials,https://violationtracker.goodjobsfirst.org/parent/louisiana-pacific-corp,https://subsidytracker.goodjobsfirst.org/parent/louisiana-pacific-corp
Lounia Shipping,750000,2,2159,privately held,,,,Cyprus,,ocean shipping,freight and logistics,https://violationtracker.goodjobsfirst.org/parent/lounia-shipping,
Love's Travel Stops & Country Stores,3243067,19,1589,privately held,,,,USA,Oklahoma,retail-convenience stores,retailing,https://violationtracker.goodjobsfirst.org/parent/loves-travel-stops-and-country-stores,https://subsidytracker.goodjobsfirst.org/parent/loves-travel-stops-and-country-stores
